#name	ftp_path	biosample	species	assembly_level
Acida_fan_GCA_053486475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/486/475/GCA_053486475.1_ASM5348647v1/	SAMN48438034	Acidarchaeum fankouense	Scaffold
Acida_fan_GCA_053486495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/486/495/GCA_053486495.1_ASM5348649v1/	SAMN48438039	Acidarchaeum fankouense	Scaffold
Acida_fan_GCA_977012175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/012/175/GCA_977012175.1_FK_Bin1/	SAMEA120400416	Acidarchaeum fankouense	Scaffold
Acida_fan_GCA_977012245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/012/245/GCA_977012245.1_FK_Bin2/	SAMEA120400417	Acidarchaeum fankouense	Scaffold
Acidia_amb_DSM_3772_GCF_009428885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/428/885/GCF_009428885.1_ASM942888v1/	SAMN13103967	Acidianus ambivalens	Contig
Acidia_amb_LEI_10_GCF_009729015_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/015/GCF_009729015.1_ASM972901v1/	SAMN09933089	Acidianus ambivalens	Complete Genome
Acidia_bri_DSM_1651_GCF_003201835_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.2_ASM320183v2/	SAMN09071529	Acidianus brierleyi	Complete Genome
Acidia_hos_GCA_003086435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/435/GCA_003086435.1_ASM308643v1/	SAMN06968115	Acidianus hospitalis	Contig
Acidia_hos_GCA_046533895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/533/895/GCA_046533895.1_ASM4653389v1/	SAMN37494483	Acidianus hospitalis	Contig
Acidia_hos_W1_GCF_000213215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/215/GCF_000213215.1_ASM21321v1/	SAMN02602984	Acidianus hospitalis	Complete Genome
Acidia_infer_DSM_3191_GCF_009729545_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/545/GCF_009729545.1_ASM972954v1/	SAMN09933090	Acidianus infernus	Contig
Acidia_infer_GCA_026626945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/626/945/GCA_026626945.1_ASM2662694v1/	SAMN31719895	Acidianus infernus	Contig
Acidia_infer_GCA_026626965_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/626/965/GCA_026626965.1_ASM2662696v1/	SAMN31719900	Acidianus infernus	Contig
Acidia_infer_GCF_041748595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/748/595/GCF_041748595.1_ASM4174859v1/	SAMN41306070	Acidianus infernus	Contig
Acidia_manz_YN_25_GCF_002116695_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/695/GCF_002116695.1_ASM211669v1/	SAMN06640543	Acidianus manzaensis	Complete Genome
Acidia_sp_DSM_29099_GCA_013133895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/133/895/GCA_013133895.1_ASM1313389v1/	SAMN14829352	Acidianus sp.	Contig
Acidia_sp_GCA_032248955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/248/955/GCA_032248955.1_ASM3224895v1/	SAMN37115005	Acidianus sp.	Contig
Acidia_sp_GCA_032249015_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/249/015/GCA_032249015.1_ASM3224901v1/	SAMN37115003	Acidianus sp.	Contig
Acidia_sp_GCA_046533515_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/533/515/GCA_046533515.1_ASM4653351v1/	SAMN37494500	Acidianus sp.	Contig
Acidia_sp_GCA_046534395_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/534/395/GCA_046534395.1_ASM4653439v1/	SAMN37494459	Acidianus sp.	Contig
Acidia_sp_GCA_046537415_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/537/415/GCA_046537415.1_ASM4653741v1/	SAMN37494392	Acidianus sp.	Contig
Acidia_sp_HS_5_GCA_021655615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/655/615/GCA_021655615.1_ASM2165561v1/	SAMD00413987	Acidianus sp.	Complete Genome
Acidia_sulfidiv_JP7_GCF_003201765_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/765/GCF_003201765.2_ASM320176v2/	SAMN09071530	Acidianus sulfidivorans	Complete Genome
Acidil_acetic_JCM_11320_GCF_055392325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/392/325/GCF_055392325.1_ASM5539232v1/	SAMD00887312	Acidilobus aceticus	Complete Genome
Acidil_saccharovora_345_15_GCF_000144915_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/915/GCF_000144915.1_ASM14491v1/	SAMN02603091	Acidilobus saccharovorans	Complete Genome
