#name	ftp_path	biosample	species	assembly_level
Ac_sp_na_GCA_026627045_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/627/045/GCA_026627045.1_ASM2662704v1	SAMN31719897	Acidibacillus sp. 	Contig
Ac_sp_na_GCA_027344165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/344/165/GCA_027344165.1_ASM2734416v1	SAMN28405199	Acidibacillus sp. 	Contig
Ae_com_B_14742_GCF_036211565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/211/565/GCF_036211565.1_ASM3621156v1	SAMN32927295	Aeribacillus composti	Scaffold
Ae_com_B_14745_GCF_036211525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/211/525/GCF_036211525.1_ASM3621152v1	SAMN32927297	Aeribacillus composti	Scaffold
Ae_com_HB_1_GCF_031760945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/760/945/GCF_031760945.1_ASM3176094v1	SAMN37346400	Aeribacillus composti	Complete Genome
Ae_com_KCTC_33824_GCF_007827555_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/827/555/GCF_007827555.1_ASM782755v1	SAMN11512289	Aeribacillus composti	Scaffold
Ae_com_NRS_1512_GCF_036208265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/208/265/GCF_036208265.1_ASM3620826v1	SAMN32927466	Aeribacillus composti	Scaffold
Ae_com_NRS_1631_GCF_036208125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/208/125/GCF_036208125.1_ASM3620812v1	SAMN32927472	Aeribacillus composti	Scaffold
Ae_com_NRS_1632_GCF_036208145_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/208/145/GCF_036208145.1_ASM3620814v1	SAMN32927473	Aeribacillus composti	Scaffold
Ae_com_NRS_1633_GCF_036208165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/208/165/GCF_036208165.1_ASM3620816v1	SAMN32927474	Aeribacillus composti	Scaffold
Ae_pal_8_GCF_001624605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/624/605/GCF_001624605.1_ASM162460v1	SAMN04566680	Aeribacillus pallidus	Scaffold
Ae_pal_8m3_GCF_001629795_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/629/795/GCF_001629795.1_ASM162979v1	SAMN04521049	Aeribacillus pallidus	Scaffold
Ae_pal_GS3372_GCA_000948185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/948/185/GCA_000948185.1_BFA_1_A	SAMN03025774	Aeribacillus pallidus	Contig
Ae_pal_KCTC3564_GCF_002243625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/243/625/GCF_002243625.1_ASM224362v1	SAMN05913071	Aeribacillus pallidus	Complete Genome
Ae_pal_MHI3390_GCA_031584105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/584/105/GCA_031584105.1_ASM3158410v1	SAMN36653354	Aeribacillus pallidus	Contig
Ae_pal_MHI3391_GCA_031584155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/584/155/GCA_031584155.1_ASM3158415v1	SAMN36797285	Aeribacillus pallidus	Contig
Ae_pal_NRS_1637_GCA_036221345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/221/345/GCA_036221345.1_ASM3622134v1	SAMN33941111	Aeribacillus pallidus	Scaffold
Ae_pal_PI8_GCA_011404955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/404/955/GCA_011404955.1_ASM1140495v1	SAMD00199256	Aeribacillus pallidus	Complete Genome
Ae_pal_TD1_GCF_004210355_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/210/355/GCF_004210355.1_ASM421035v1	SAMN10882725	Aeribacillus pallidus	Contig
Ae_pal_W_12_GCF_003413715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/413/715/GCF_003413715.1_ASM341371v1	SAMN09767475	Aeribacillus pallidus	Contig
Ae_sp_FSL_K6_1121_GCF_038003725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/003/725/GCF_038003725.1_ASM3800372v1	SAMN29228897	Aeribacillus sp. 	Contig
Ae_sp_FSL_K6_1305_GCF_038050115_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/050/115/GCF_038050115.1_ASM3805011v1	SAMN29228721	Aeribacillus sp. 	Contig
