#name	ftp_path	biosample	species	assembly_level
Aa_arx_CBS_175_79_GCF_010015735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/015/735/GCF_010015735.1_Aaoar1	SAMN05661102	Aaosphaeria arxii	Scaffold
Aa_pasa_FJI_L9_BK_P1_GCA_022813625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/813/625/GCA_022813625.1_ASM2281362v1	SAMN25226780	Aaosphaeria pasadenensis	Scaffold
Abo_bienn_CIRM_BRFM_1778_GCA_022606235_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/606/235/GCA_022606235.1_Abobie1	SAMN08777216	Abortiporus biennis	Contig
Abs_glauca_CBS_101_48_RVII_324_met_GCA_900079185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/185/GCA_900079185.1_AG_v1	SAMEA3923633	Absidia glauca	Scaffold
Abs_hea_UoMAU1_GCA_019677225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/225/GCA_019677225.1_ASM1967722v1	SAMN14838375	Absidia healeyae	Scaffold
Abs_repe_NRRL_1336_GCA_002105175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/175/GCA_002105175.1_Absrep1	SAMN05421884	Absidia repens	Contig
Acan_font_GCA_964256675_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/256/675/GCA_964256675.1_public_SRR14721923_metabat2_bin.2	SAMEA115958113	Acanthothecis fontana	Scaffold
Acarom_ingoldii_MCA_4198_GCF_003144295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/295/GCF_003144295.1_Acain1	SAMN02787018	Acaromyces ingoldii	Scaffold
Acaros_soc_JNA_AS_CCGP158_GCA_025617375_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/617/375/GCA_025617375.2_glAcaSoci1.1	SAMN29043977	Acarospora socialis	Scaffold
Acaros_sp_GCA_022814355_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/355/GCA_022814355.1_ASM2281435v1	SAMN25961849	Acarospora sp.	Scaffold
Acaros_sp_GCA_964256185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/256/185/GCA_964256185.1_private_T1882_concoct_bin.24	SAMEA115958094	Acarospora sp.	Scaffold
Acaulop_tetrace_GCA_004114255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/114/255/GCA_004114255.1_ASM411425v1	SAMN10060497	Acaulopage tetraceros	Scaffold
Acaulos_colombiana_CL356_GCA_910592055_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/592/055/GCA_910592055.1_Acaulospora_colombiana_CL356	SAMEA8911291	Acaulospora colombiana	Contig
Acaulos_morr_CL551_GCA_910591835_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/591/835/GCA_910591835.1_Acaulospora_morrowiae_CL551	SAMEA8911292	Acaulospora morrowiae	Contig
Ace_macrosc_EW76_UTF0540_GCA_014904845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/845/GCA_014904845.1_Acema1	SAMN05446088	Acephala macrosclerotiorum	Scaffold
Achaetomie_vires_148_68_GCA_031001845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/001/845/GCA_031001845.1_ASM3100184v1	SAMN33795805	Achaetomiella virescens	Contig
Achaetomium_macrosporum_CBS_532_94_GCA_033296875_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/296/875/GCA_033296875.1_Achma1	SAMN09643957	Achaetomium macrosporum	Scaffold
Aciculoc_aculeatum_NRRL_YB_4298_GCA_003707435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/707/435/GCA_003707435.1_ASM370743v1	SAMN08343410	Aciculoconidium aculeatum	Scaffold
Aciculoc_aculeatum_NRRL_YB_4298_GCA_030579395_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/579/395/GCA_030579395.1_ASM3057939v1	SAMN20342060	Aciculoconidium aculeatum	Scaffold
Aciculos_take_MAFF_241224_GCA_000222935_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/935/GCA_000222935.2_AciTa_1.0	SAMN02981340	Aciculosporium take	Contig
Acid_bohe_GCA_019670975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/670/975/GCA_019670975.1_ASM1967097v1	SAMN18897979	Acidiella bohemica	Contig
Acroc_vag_A21_GCA_028476805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/476/805/GCA_028476805.1_ASM2847680v1	SAMN32634593	Acrocalymma vagum	Scaffold
Acrod_crateriforme_GCA_033807595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/595/GCA_033807595.1_ASM3380759v1	SAMN38110310	Acrodontium crateriforme	Complete Genome
Actinomo_ambigua_BC1065_GCA_016098155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/098/155/GCA_016098155.1_UCR_MambBC1055_1.0	SAMN09074672	Actinomortierella ambigua	Scaffold
Actinomo_ambigua_BC1291_GCA_015502565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/502/565/GCA_015502565.1_UCR_MambBC1291	SAMN09074671	Actinomortierella ambigua	Scaffold
Actinomo_ambigua_NRRL_28271_GCA_015849275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/849/275/GCA_015849275.1_UCR_MambNRRL28271_1.0	SAMN05720519	Actinomortierella ambigua	Scaffold
Actinomo_wol_NRRL_6351_GCA_016098105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/098/105/GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0	SAMN05720777	Actinomortierella wolfii	Scaffold
Actinomo_wol_NRRL_66265_GCA_016098135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/098/135/GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0	SAMN05720778	Actinomortierella wolfii	Scaffold
Actinomu_eleg_GCA_026027325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/027/325/GCA_026027325.1_ASM2602732v1	SAMN29019881	Actinomucor elegans	Contig
Actinomu_eleg_JCM_22485_GCA_001599635_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/635/GCA_001599635.1_JCM_22485_assembly_v001	SAMD00028366	Actinomucor elegans	Scaffold
Ae_ludg_E14_GCA_004216415_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/216/415/GCA_004216415.1_S18-22	SAMN10868988	Aeminium ludgeri	Scaffold
Af_lepidel_UT_M0000099_GCA_038094355_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/094/355/GCA_038094355.1_BD703-Stobilomyces-lepidellus	SAMN38199312	Afroboletus lepidellus	Scaffold
Aga_bisporus_A10_9_GCA_041430195_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/430/195/GCA_041430195.1_ASM4143019v1	SAMN39978499	Agaricus bisporus	Contig
Aga_bisporus_A13_20_GCA_043381075_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/381/075/GCA_043381075.1_ASM4338107v1	SAMN39978500	Agaricus bisporus	Contig
Aga_bisporus_A58_19_GCA_043380955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/380/955/GCA_043380955.1_ASM4338095v1	SAMN39978503	Agaricus bisporus	Contig
Aga_bisporus_A7_31_GCA_037953735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/953/735/GCA_037953735.1_ASM3795373v1	SAMN39978505	Agaricus bisporus	Contig
Aga_bisporus_AB58_GCA_008271545_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/271/545/GCA_008271545.1_ASM827154v1	SAMN11284169	Agaricus bisporus	Contig
Aga_bisporus_ARP23_GCA_006491665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/491/665/GCA_006491665.1_MU_Agar_1	SAMN11866897	Agaricus bisporus	Contig
Aga_bisporus_GCA_943193715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/193/715/GCA_943193715.1_gfAgaBisp1.1	SAMEA8562043	Agaricus bisporus	Chromosome
Aga_bisporus_GCA_943193725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/193/725/GCA_943193725.1_gfAgaBisp1.1_alternate_haplotype	SAMEA8562043	Agaricus bisporus	Contig
Aga_bisporus_H119_p4_GCA_014872705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/872/705/GCA_014872705.1_ASM1487270v1	SAMN15043479	Agaricus bisporus	Chromosome
Aga_bisporus_H39_GCA_001682475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/475/GCA_001682475.1_ASM168247v1	SAMN04880541	Agaricus bisporus	Chromosome
Aga_bisporus_H97_GCA_000300575_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/575/GCA_000300575.2_ASM30057v2	SAMN02744070	Agaricus bisporus	Chromosome
Aga_bisporus_H97_GCF_000300575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/575/GCF_000300575.1_Agabi_varbisH97_2	SAMN02744070	Agaricus bisporus	Scaffold
Aga_bisporus_JB137_s8_GCF_000300555_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/555/GCF_000300555.1_Agabi_varbur_1	SAMN00188834	Agaricus bisporus	Scaffold
Aga_bisporus_KMCC00540_GCA_006228365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/228/365/GCA_006228365.1_ASM622836v1	SAMN11489404	Agaricus bisporus	Chromosome
Aga_bito_BH01_GCA_030246685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/246/685/GCA_030246685.1_ASM3024668v1	SAMN33801832	Agaricus bitorquis	Contig
Aga_blaz_JA_15036_GCA_029719445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/719/445/GCA_029719445.1_ASM2971944v1	SAMN11381224	Agaricus blazei	Contig
Aga_sinod_ZRL20160001_S65_GCA_022315185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/315/185/GCA_022315185.1_ASM2231518v1	SAMN20065748	Agaricus sinodeliciosus	Scaffold
