#name	ftp_path	biosample	species	assembly_level
Ab_whi_ATCC_PRA_280_GCA_002812265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/265/GCA_002812265.1_ASM281226v1	SAMN06200030	Abeoforma whisleri	Scaffold
Acantha_astr_GCA_000826245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/245/GCA_000826245.1_Acanthamoeba_astronyxis	SAMEA3111746	Acanthamoeba astronyxis	Scaffold
Acantha_caste_C3_GCA_021020595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/020/595/GCA_021020595.1_ASM2102059v1	SAMN13907871	Acanthamoeba castellanii	Contig
Acantha_caste_GCA_000826485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/485/GCA_000826485.1_Acanthamoeba_castellanii	SAMEA3111758	Acanthamoeba castellanii	Scaffold
Acantha_caste_GCA_937900865_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/900/865/GCA_937900865.1_SRR3997477_bin.32_CONCOCT_v1.1_MAG	SAMEA14079436	Acanthamoeba castellanii	Contig
Acantha_caste_Namur_GCA_903821525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/821/525/GCA_903821525.1_PRJEB38202	SAMEA6953212	Acanthamoeba castellanii	Contig
Acantha_caste_Neff_GCA_000193105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/105/GCA_000193105.1_Acas_2.0	SAMN00000060	Acanthamoeba castellanii	Scaffold
Acantha_caste_Neff_GCA_021020605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/020/605/GCA_021020605.1_ASM2102060v1	SAMN22645379	Acanthamoeba castellanii	Contig
Acantha_caste_Neff_GCF_000313135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1	SAMN02953809	Acanthamoeba castellanii	Scaffold
Acantha_coma_Pb30_40_GCA_002025285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/285/GCA_002025285.1_ASM202528v1	SAMN06054173	Acanthamoeba comandoni	Contig
Acantha_culb_GCA_000826265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/265/GCA_000826265.1_Acanthamoeba_culbertsoni_genome_assembly	SAMEA3111747	Acanthamoeba culbertsoni	Scaffold
Acantha_divi_GCA_000826405_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/405/GCA_000826405.1_Acanthamoeba_divionensis	SAMEA3111754	Acanthamoeba divionensis	Scaffold
Acantha_hea_GCA_000826305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/305/GCA_000826305.1_Acanthamoeba_healyi	SAMEA3111749	Acanthamoeba healyi	Scaffold
Acantha_len_72_2_GCA_002105255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/255/GCA_002105255.1_ASM210525v1	SAMN06200000	Acanthamoeba lenticulata	Contig
Acantha_len_GCA_000826285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/285/GCA_000826285.1_Acanthamoeba_lenticulata	SAMEA3111748	Acanthamoeba lenticulata	Scaffold
Acantha_len_PT_14_GCA_002179805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/179/805/GCA_002179805.1_ALPT14_1.0	SAMN06319103	Acanthamoeba lenticulata	Contig
Acantha_lug_GCA_000826425_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/425/GCA_000826425.1_Acanthamoeba_lugdunensis	SAMEA3111755	Acanthamoeba lugdunensis	Scaffold
Acantha_mau_GCA_000826465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/465/GCA_000826465.1_Acanthamoeba_mauritaniensis	SAMEA3111757	Acanthamoeba mauritaniensis	Scaffold
Acantha_pales_GCA_000826325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/325/GCA_000826325.1_Acanthamoeba_palestinensis	SAMEA3111750	Acanthamoeba palestinensis	Scaffold
Acantha_pea_GCA_000826505_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/505/GCA_000826505.1_Acanthamoeba_pearcei	SAMEA3111759	Acanthamoeba pearcei	Scaffold
Acantha_polyp_GCA_000826345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/345/GCA_000826345.1_Acanthamoeba_polyphaga	SAMEA3111751	Acanthamoeba polyphaga	Scaffold
Acantha_polyp_Linc_Ap_1_GCA_001567625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/567/625/GCA_001567625.1_ASM156762v1	SAMN04378134	Acanthamoeba polyphaga	Contig
Acantha_quina_GCA_000826445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/445/GCA_000826445.1_Acanthamoeba_quina	SAMEA3111756	Acanthamoeba quina	Scaffold
Acantha_rhy_GCA_000826385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/385/GCA_000826385.1_Acanthamoeba_rhysodes	SAMEA3111753	Acanthamoeba rhysodes	Scaffold
Acantha_roy_GCA_000826365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/365/GCA_000826365.1_Acanthamoeba_royreba	SAMEA3111752	Acanthamoeba royreba	Scaffold
Acantha_sp_GCA_027943245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/943/245/GCA_027943245.1_ASM2794324v1	SAMN24433776	Acanthamoeba sp.	Contig
Acantha_sp_GCA_027943295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/943/295/GCA_027943295.1_ASM2794329v1	SAMN24433775	Acanthamoeba sp.	Contig
Acantha_sp_GCA_027944975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/944/975/GCA_027944975.1_ASM2794497v1	SAMN24433777	Acanthamoeba sp.	Contig
Acantha_tria_SH_621_GCA_902749335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/749/335/GCA_902749335.1_PRJEB36491	SAMEA6511205	Acanthamoeba triangularis	Contig
Acantho_spici_GCA_043090175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/090/175/GCA_043090175.1_ASM4309017v1	SAMN43334173	Acanthophora spicifera	Scaffold
Ach_hyp_ATCC_48635_GCA_002081595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/081/595/GCA_002081595.1_ACH_lane_v1	SAMN02690054	Achlya hypogyna	Scaffold
Acr_kona_ATCC_MYA_3509_GCA_026419775_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/419/775/GCA_026419775.2_AKona_v2	SAMN31014988	Acrasis kona	Scaffold
Acy_lep_GCA_900092245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/092/245/GCA_900092245.1_ASM90009224v1	SAMEA4059176	Acytostelium leptosomum	Scaffold
Acy_subg_LB1_GCF_000787575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/575/GCF_000787575.1_Asub_2.0	SAMD00019534	Acytostelium subglobosum	Scaffold
Ad_palu_NY0171_GCA_024181965_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/181/965/GCA_024181965.1_APAL_1.0	SAMD00444042	Aduncisulcus paluster	Scaffold
Ag_chilen_NLEC103_M9_GCA_030374765_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/374/765/GCA_030374765.1_ASM3037476v1	SAMN33052269	Agarophyton chilense	Contig
Ala_marg_GCA_037833945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/833/945/GCA_037833945.1_ASM3783394v1	SAMN40095432	Alaria marginata	Scaffold
Ala_nana_GCA_040966275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/966/275/GCA_040966275.1_ASM4096627v1	SAMN40632607	Alaria nana	Scaffold
Alb_cand_2VRR_GCA_020283525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/283/525/GCA_020283525.1_ASM2028352v1	SAMN00115895	Albugo candida	Scaffold
Alb_cand_Ac_2V_GCA_000326065_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/065/GCA_000326065.1_ASM32606v1	SAMEA2272664	Albugo candida	Contig
Alb_cand_Ac2v_GCA_038020745_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/020/745/GCA_038020745.1_ASM3802074v1	SAMN40650248	Albugo candida	Scaffold
Alb_cand_Ac_2V_GCA_905220665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/220/665/GCA_905220665.1_Assembly_of_Albugo_candida_isolate_Ac2vPB	SAMEA2272664	Albugo candida	Contig
Alb_cand_Ac_7v_GCA_001306755_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/306/755/GCA_001306755.1_ASM130675v1	SAMN03938704	Albugo candida	Contig
Alb_cand_Ac_Bol_GCA_000313105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/105/GCA_000313105.1_ASM31310v1	SAMEA2272712	Albugo candida	Contig
Alb_cand_Ac_Bot_GCA_000326045_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/045/GCA_000326045.1_ASM32604v1	SAMEA2272172	Albugo candida	Contig
Alb_cand_Ac_Ex1_GCA_001306775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/306/775/GCA_001306775.1_ASM130677v1	SAMN03938710	Albugo candida	Contig
