#name	ftp_path	organism	assembly_level
Acin_pit_PHEA_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1	Acinetobacter pittii	Complete Genome
Baci_subti_subtilis_168	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/045/GCF_000009045.1_ASM904v1	Bacillus subtilis	Complete Genome
Cam_jej_jejuni_NCTC_11168_ATCC_700819	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1	Campylobacter jejuni	Complete Genome
Cau_vib_NA1000	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/005/GCF_000022005.1_ASM2200v1	Caulobacter vibrioides	Complete Genome
Chlamydia_tracho_D_UW_3_CX	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1	Chlamydia trachomatis	Complete Genome
Cox_burn_RSA_493	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2	Coxiella burnetii	Complete Genome
Es_coli_K_12_MG1655	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2	Escherichia coli	Complete Genome
Es_coli_O157_H7_Sakai	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2	Escherichia coli	Complete Genome
Kle_pneumon_pneumoniae_HS11286	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2	Klebsiella pneumoniae	Complete Genome
Lis_mono_EGD_e	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1	Listeria monocytogenes	Complete Genome
Mycobacteri_tuberculosis_H37Rv	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2	Mycobacterium tuberculosis	Complete Genome
Pseudom_aeruginosa_PAO1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1	Pseudomonas aeruginosa	Complete Genome
Salm_enteri_enterica_Typhimurium_LT2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2	Salmonella enterica	Complete Genome
Shig_flexn_2a_301	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2	Shigella flexneri	Complete Genome
Sta_aure_aureus_NCTC_8325	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1	Staphylococcus aureus	Complete Genome
Acin_bau_1656_2_GCF_000188215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/215/GCF_000188215.1_ASM18821v1	Acinetobacter baumannii	Complete Genome
Acin_bau_AB0057_GCF_000021245_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/245/GCF_000021245.2_ASM2124v2	Acinetobacter baumannii	Complete Genome
Acin_bau_AB307_0294_GCF_002803025_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/803/025/GCF_002803025.2_ASM280302v2	Acinetobacter baumannii	Complete Genome
Acin_bau_ACICU_GCF_000018445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/445/GCF_000018445.1_ASM1844v1	Acinetobacter baumannii	Complete Genome
Acin_bau_ACICU_GCF_005519135_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/519/135/GCF_005519135.2_ASM551913v2	Acinetobacter baumannii	Complete Genome
Acin_bau_ATCC_17978_GCF_004794235_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/794/235/GCF_004794235.2_ASM479423v2	Acinetobacter baumannii	Chromosome
Acin_bau_ATCC_17978_GCF_004794275_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/794/275/GCF_004794275.2_ASM479427v2	Acinetobacter baumannii	Chromosome
Acin_bau_ATCC_17978_GCF_004797155_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/797/155/GCF_004797155.2_ASM479715v2	Acinetobacter baumannii	Complete Genome
Acin_bau_ATCC_17978_GCF_013372085_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/085/GCF_013372085.1_ASM1337208v1	Acinetobacter baumannii	Complete Genome
Acin_bau_ATCC_17978_GCF_026167785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/167/785/GCF_026167785.1_ASM2616778v1	Acinetobacter baumannii	Complete Genome
Acin_bau_ATCC_17978_GCF_026167805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/167/805/GCF_026167805.1_ASM2616780v1	Acinetobacter baumannii	Complete Genome
Acin_bau_ATCC_19606_CIP_70_34_JCM_6841_GCF_019331655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/331/655/GCF_019331655.1_ASM1933165v1	Acinetobacter baumannii	Complete Genome
Acin_bau_AYE_GCF_000069245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/245/GCF_000069245.1_ASM6924v1	Acinetobacter baumannii	Complete Genome
Acin_bau_BJAB07104_GCF_000419385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/385/GCF_000419385.1_ASM41938v1	Acinetobacter baumannii	Complete Genome
Acin_bau_BJAB0715_GCF_000419405_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/405/GCF_000419405.1_ASM41940v1	Acinetobacter baumannii	Complete Genome
Acin_bau_BJAB0868_GCF_000419425_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/425/GCF_000419425.1_ASM41942v1	Acinetobacter baumannii	Complete Genome
Acin_bau_D1279779_GCF_000186665_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/665/GCF_000186665.3_ASM18666v4	Acinetobacter baumannii	Complete Genome
Acin_bau_DU202_GCF_000498375_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/375/GCF_000498375.2_ASM49837v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000695855_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/855/GCF_000695855.3_ASM69585v3	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000746605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/605/GCF_000746605.1_ASM74660v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000746645_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000761175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/175/GCF_000761175.1_ASM76117v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000794125_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/794/125/GCF_000794125.2_ASM79412v2	Acinetobacter baumannii	Complete Genome
