tax_id	organism_name	infraspecific_name	bioproject	biosample	assembly_accession	refseq_category	assembly_level	genome_rep	seq_rel_date	asm_name	gbrs_paired_asm	ftp_path	species	species_id	genus	genus_id	family	family_id
871585	Acinetobacter pittii PHEA-2	strain=PHEA-2	PRJNA83123	SAMN02603040	GCF_000191145.1	reference genome	Complete Genome	Full	2011-03-03	ASM19114v1	GCA_000191145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1	Acinetobacter pittii	48296	Acinetobacter	469	Moraxellaceae	468
224308	Bacillus subtilis subsp. subtilis str. 168	strain=168	PRJNA57675	SAMEA3138188	GCF_000009045.1	reference genome	Complete Genome	Full	2009-03-17	ASM904v1	GCA_000009045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/045/GCF_000009045.1_ASM904v1	Bacillus subtilis	1423	Bacillus	1386	Bacillaceae	186817
527031	Bacillus thuringiensis serovar berliner ATCC 10792	strain=ATCC 10792	PRJNA224116	SAMN00738287	GCF_000161615.1	reference genome	Chromosome	Full	2009-05-29	ASM16161v1	GCA_000161615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/615/GCF_000161615.1_ASM16161v1	Bacillus thuringiensis	1428	Bacillus	1386	Bacillaceae	186817
326423	Bacillus velezensis FZB42	strain=FZB42	PRJNA224116	SAMN02603158	GCF_000015785.2	reference genome	Complete Genome	Full	2019-06-24	ASM1578v2	GCA_000015785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/785/GCF_000015785.2_ASM1578v2	Bacillus velezensis	492670	Bacillus	1386	Bacillaceae	186817
272559	Bacteroides fragilis NCTC 9343	strain=NCTC 9343	PRJNA224116	SAMEA1705957	GCF_000025985.1	reference genome	Complete Genome	Full	2005-03-03	ASM2598v1	GCA_000025985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/985/GCF_000025985.1_ASM2598v1	Bacteroides fragilis	817	Bacteroides	816	Bacteroidaceae	815
565042	Bifidobacterium longum subsp. longum JCM 1217	strain=JCM 1217	PRJNA224116	SAMD00060951	GCF_000196555.1	reference genome	Complete Genome	Full	2011-01-28	ASM19655v1	GCA_000196555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/555/GCF_000196555.1_ASM19655v1	Bifidobacterium longum	216816	Bifidobacterium	1678	Bifidobacteriaceae	31953
224914	Brucella melitensis bv. 1 str. 16M	strain=16M	PRJNA224116	SAMN02603416	GCF_000007125.1	reference genome	Complete Genome	Full	2001-12-28	ASM712v1	GCA_000007125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1	Brucella melitensis	29459	Brucella	234	Brucellaceae	118882
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	PRJNA57587	SAMEA1705929	GCF_000009085.1	reference genome	Complete Genome	Full	2003-05-06	ASM908v1	GCA_000009085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1	Campylobacter jejuni	197	Campylobacter	194	Campylobacteraceae	72294
1169293	Enterococcus faecalis EnGen0336	strain=T5	PRJNA224116	SAMN00847609	GCF_000393015.1	reference genome	Scaffold	Full	2013-05-14	Ente_faec_T5_V1	GCA_000393015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/015/GCF_000393015.1_Ente_faec_T5_V1	Enterococcus faecalis	1351	Enterococcus	1350	Enterococcaceae	81852
386585	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952	PRJNA57781	SAMN01911278	GCF_000008865.2	reference genome	Complete Genome	Full	2018-06-08	ASM886v2	GCA_000008865.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2	Escherichia coli	562	Escherichia	561	Enterobacteriaceae	543
511145	Escherichia coli str. K-12 substr. MG1655	strain=K-12 substr. MG1655	PRJNA57779	SAMN02604091	GCF_000005845.2	reference genome	Complete Genome	Full	2013-09-26	ASM584v2	GCA_000005845.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2	Escherichia coli	562	Escherichia	561	Enterobacteriaceae	543
1450527	Francisella tularensis subsp. novicida D9876	strain=D9876	PRJNA224116	SAMN03092276	GCF_000833355.1	reference genome	Complete Genome	Full	2015-02-06	ASM83335v1	GCA_000833355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/355/GCF_000833355.1_ASM83335v1	Francisella tularensis	263	Francisella	262	Francisellaceae	34064
1125630	Klebsiella pneumoniae subsp. pneumoniae HS11286	strain=HS11286	PRJNA84387	SAMN02602959	GCF_000240185.1	reference genome	Complete Genome	Full	2011-12-27	ASM24018v2	GCA_000240185.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2	Klebsiella pneumoniae	573	Klebsiella	570	Enterobacteriaceae	543
2590157	Klebsiella variicola subsp. variicola	strain=F2R9T	PRJNA224116	SAMN22024815	GCF_020525545.1	reference genome	Complete Genome	Full	2021-10-19	ASM2052554v1	GCA_020525545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/525/545/GCF_020525545.1_ASM2052554v1	Klebsiella variicola	244366	Klebsiella	570	Enterobacteriaceae	543
169963	Listeria monocytogenes EGD-e	strain=EGD-e	PRJNA61583	SAMEA3138329	GCF_000196035.1	reference genome	Complete Genome	Full	2003-05-06	ASM19603v1	GCA_000196035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1	Listeria monocytogenes	1639	Listeria	1637	Listeriaceae	186820
83332	Mycobacterium tuberculosis H37Rv	strain=H37Rv	PRJNA57777	SAMEA3138326	GCF_000195955.2	reference genome	Complete Genome	Full	2013-02-01	ASM19595v2	GCA_000195955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2	Mycobacterium tuberculosis	1773	Mycobacterium	1763	Mycobacteriaceae	1762
