#name	ftp_path	biosample	species	assembly_level
Abeli_distichum_GCA_043235775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/235/775/GCA_043235775.1_ASM4323577v1	SAMN40410506	Abeliophyllum distichum	Chromosome
Abelm_esculentus_Green_Star_GCA_035048815_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/048/815/GCA_035048815.1_WUR_AEscu_1	SAMN35805024	Abelmoschus esculentus	Scaffold
Abr_pre_GCF_003935025_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/935/025/GCF_003935025.1_Abrus_2018	SAMN10039699	Abrus precatorius	Scaffold
Abr_pulchellus_GCA_023634445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/634/445/GCA_023634445.1_ASM2363444v1	SAMN26867016	Abrus pulchellus	Chromosome
Abr_pulchellus_GCA_024086825_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/086/825/GCA_024086825.1_ASM2408682v1	SAMN25889585	Abrus pulchellus	Chromosome
Acac_acuminata_GCA_019022655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/022/655/GCA_019022655.1_ASM1902265v1	SAMN17254106	Acacia acuminata	Contig
Acac_conc_GCA_037177275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/275/GCA_037177275.1_ASM3717727v1	SAMN39656751	Acacia concinna	Scaffold
Acac_confusa_GCA_037074495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/074/495/GCA_037074495.1_ASM3707449v1	SAMN37403751	Acacia confusa	Chromosome
Acac_crassic_GCA_034222035_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/222/035/GCA_034222035.1_Acra_USDA_v1	SAMN35312070	Acacia crassicarpa	Scaffold
Acac_melano_GCA_019022615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/022/615/GCA_019022615.1_ASM1902261v1	SAMN17254105	Acacia melanoxylon	Contig
Acac_pycna_GCA_025563575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/563/575/GCA_025563575.1_ASM2556357v1	SAMN20587791	Acacia pycnantha	Scaffold
Acae_oval_GCA_964197805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/197/805/GCA_964197805.1_drAcaOval1.hap1.1	SAMEA114389510	Acaena ovalifolia	Chromosome
Acae_oval_GCA_964197845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/197/845/GCA_964197845.1_drAcaOval1.hap2.1	SAMEA114389510	Acaena ovalifolia	Chromosome
Acal_hispi_TARS_4886_GCA_948193465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/193/465/GCA_948193465.1_Ah-TARS4886-DRAFT-NextGenCassava-1.0	SAMN31836731	Acalypha hispida	Contig
Acanthoc_bracteata_GCA_019914995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/914/995/GCA_019914995.1_ASM1991499v1	SAMN18024572	Acanthochlamys bracteata	Chromosome
Acanthop_spici_GCA_043090175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/090/175/GCA_043090175.1_ASM4309017v1	SAMN43334173	Acanthophora spicifera	Scaffold
Acer_campestre_GCA_954870605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/954/870/605/GCA_954870605.1_drAceCamp1.1	SAMEA7522523	Acer campestre	Chromosome
Acer_campestre_GCA_954871055_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/954/871/055/GCA_954871055.1_drAceCamp1.1_alternate_haplotype	SAMEA7522523	Acer campestre	Scaffold
Acer_negu_GCA_025594385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/385/GCA_025594385.1_ASM2559438v1	SAMN20429306	Acer negundo	Chromosome
Acer_negu_GCA_035582765_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/582/765/GCA_035582765.1_UCONN_Acne_2	SAMN36268007	Acer negundo	Chromosome
Acer_saccharum_GCA_030490815_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/815/GCA_030490815.1_UCONN_Acsa_1.0	SAMN20306893	Acer saccharum	Chromosome
Acer_saccharum_GCA_030979865_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/865/GCA_030979865.1_UCONN_Acsa_2	SAMN36268672	Acer saccharum	Chromosome
Acer_yangb_Malutang_GCA_008009225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/009/225/GCA_008009225.1_AYv1.1	SAMN11026391	Acer yangbiense	Chromosome
Acet_ace_GCA_963930945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/930/945/GCA_963930945.1_Aacetabulum_co-assembly	SAMEA115162796	Acetabularia acetabulum	Scaffold
Acet_ace_GCA_963931725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/931/725/GCA_963931725.1_Aacetabulum_meta-assembly	SAMEA115162797	Acetabularia acetabulum	Scaffold
Acet_ace_GCA_963931735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/931/735/GCA_963931735.1_Aacetabulum_SAG15_assembly	SAMEA115162800	Acetabularia acetabulum	Scaffold
Acet_ace_GCA_963982455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/982/455/GCA_963982455.1_Aacetabulum_SAG16_assembly	SAMEA115162799	Acetabularia acetabulum	Scaffold
Acet_ace_GCA_963982565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/982/565/GCA_963982565.1_Aacetabulum_SAG14_assembly	SAMEA115162799	Acetabularia acetabulum	Scaffold
Acet_ace_GCA_963982595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/982/595/GCA_963982595.1_Aacetabulum_SAG20_assembly	SAMEA115162799	Acetabularia acetabulum	Scaffold
Acm_strig_GCA_030819835_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/819/835/GCA_030819835.1_drAcmStri1.0.hap2	SAMN35734731	Acmispon strigosus	Scaffold
Acm_strig_GCA_030819995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/819/995/GCA_030819995.1_drAcmStri1.0.hap1	SAMN35734731	Acmispon strigosus	Scaffold
